"Distancía absoluta [m]
01/01/2020",Número de soldadura,SMYS [psi],Diámetro [mm],Espesor [mm],Elevación [m],Latitud[º] / Este,Longitud [º]/ Norte,Feature typev (don't incude blank),Inclinación - Pitch [grados] - desde Extraer GW - Interpolar,Azimuth - [Grados] - desde Extraer GW - Interpolar,Distancia de Registro [km],Presión de diseño [psi],Presió Interpolada [psi] (desde colmna K),PK [km],Perfil de presión operativa [psi],Distancia de registro perfil operativo [m]
1138.592,1130,60000,323.85,9.3,1458.543,1187755.372,835447.633,GW,,,11.38592,2482.0,1645.0,181.85277,1358.0468873813852,18128.54
1145.142,1140,60000,323.85,10.7,1458.446,1187761.916,835447.802,GW,,,11.45142,2855.0,1645.0,181.86439,1358.752966745065,18140.16
1155.486,1150,60000,323.85,9.3,1458.376,1187772.251,835448.112,GW,,,11.554860000000001,2482.0,1645.0,182.24588,1269.5962708204902,18521.65
1164.747,1160,60000,323.85,9.3,1458.276,1187781.496,835448.549,GW,,,11.64747,2482.0,1645.0,182.25806,1269.380072853769,18533.83
1177.222,1170,60000,323.85,9.3,1457.783,1187793.784,835450.491,GW,,,11.772219999999999,2482.0,1645.0,182.49493,1187.4439950297417,18770.7
1189.642,1180,60000,323.85,9.3,1457.335,1187805.968,835452.814,GW,,,11.89642,2482.0,1645.0,182.50713,1185.9108962868636,18782.9
1202.003,1190,60000,323.85,9.3,1457.572,1187818.166,835454.765,GW,,,12.020029999999998,2482.0,1645.0,182.5993,1202.2467887160128,18875.07
1214.489,1200,60000,323.85,9.3,1457.998,1187830.377,835457.175,GW,,,12.14489,2482.0,1646.0,182.61151,1202.9462411895563,18887.28
1226.9,1210,60000,323.85,9.3,1458.148,1187842.104,835461.222,GW,,,12.269,2482.0,1646.0,182.67044,1183.3452257759332,18946.21
1239.366,1220,60000,323.85,9.3,1458.076,1187853.915,835465.191,GW,,,12.39366,2482.0,1646.0,182.68263,1184.038444484634,18958.4
1251.767,1230,60000,323.85,9.3,1457.749,1187865.245,835470.159,GW,,,12.51767,2482.0,1646.0,182.86279,1158.788371833782,19138.56
1264.088,1240,60000,323.85,9.3,1456.738,1187876.213,835475.663,GW,,,12.64088,2482.0,1646.0,182.8714,1158.3025898556175,19147.17
1276.508,1250,60000,323.85,9.3,1456.603,1187887.305,835481.216,GW,,,12.765080000000001,2482.0,1647.0,183.09404,1250.438563950921,19369.81
1286.455,1260,60000,323.85,9.3,1456.682,1187896.201,835485.659,GW,,,12.86455,2482.0,1647.0,183.10623,1251.9770308986217,19382.0
1290.379,1270,60000,323.85,9.3,1456.643,1187899.712,835487.403,GW,,,12.903789999999999,2482.0,1647.0,183.16721,1229.2760950053885,19442.98
1302.802,1280,60000,323.85,9.3,1456.279,1187910.899,835492.779,GW,,,13.02802,2482.0,1647.0,183.17941,1229.8861163305105,19455.18
1315.143,1290,60000,323.85,9.3,1454.429,1187920.83,835499.653,GW,,,13.15143,2482.0,1647.0,183.7531,1318.241193196462,20028.87
1327.529,1300,60000,323.85,9.3,1451.927,1187929.965,835507.623,GW,,,13.27529,2482.0,1647.0,183.7653,1318.0449129635845,20041.07
1339.98,1310,60000,323.85,9.3,1449.454,1187939.169,835515.624,GW,,,13.3998,2482.0,1648.0,184.1429,1320.62568812908,20418.67
1348.931,1320,60000,323.85,9.3,1448.167,1187945.84,835521.396,GW,,,13.48931,2482.0,1648.0,184.55704,1184.850826282413,20832.81
1357.089,1330,60000,323.85,13.7,1448.071,1187952.039,835526.693,GW,,,13.570889999999999,3656.0,1648.0,184.56922,1185.274617019692,20844.99
